100000 1 -0.462245
1e-05 0.944351 0.043196 0.846809
1e-05 0.262649 0.794609 0.831599
1e-05 0.643454 0.494496 0.332588
1e-05 0.388970 0.362878 0.258246
1e-05 0.714835 0.483334 0.462120
1e-05 0.468014 0.026418 0.160972
1e-05 0.504290 0.966797 0.355229
1e-05 0.490624 0.375044 0.224866
1e-05 0.211466 0.443412 0.735895
1e-05 0.387122 0.290143 0.657276
1e-05 0.922516 0.775695 0.808499
1e-05 0.253071 0.859550 0.084180
1e-05 0.718568 0.829317 0.656391
1e-05 0.603049 0.882016 0.077060
1e-05 0.524904 0.705291 0.354234
1e-05 0.065827 0.294905 0.977231
1e-05 0.226263 0.058362 0.425167
1e-05 0.653996 0.430757 0.848369
1e-05 0.154078 0.781851 0.373418
1e-05 0.574704 0.281258 0.725104
1e-05 0.188362 0.258263 0.137130
1e-05 0.611063 0.823658 0.824770
1e-05 0.773927 0.711442 0.332156
1e-05 0.192005 0.689268 0.586218
1e-05 0.212315 0.119960 0.201833
1e-05 0.638444 0.643435 0.943776
1e-05 0.768116 0.161639 0.006865
1e-05 0.488179 0.454242 0.173304
1e-05 0.829922 0.255261 0.265881
1e-05 0.453180 0.280180 0.119336
1e-05 0.546861 0.089022 0.154884
1e-05 0.501902 0.358770 0.836999
1e-05 0.114971 0.135837 0.505231
1e-05 0.340616 0.011073 0.986944
1e-05 0.326005 0.315593 0.592026
1e-05 0.061454 0.487868 0.662884
1e-05 0.164737 0.242340 0.172685
1e-05 0.297873 0.601734 0.036555
1e-05 0.714925 0.371768 0.103550
1e-05 0.361631 0.163372 0.749738
1e-05 0.321488 0.988717 0.065209
1e-05 0.687252 0.534670 0.657215
1e-05 0.185162 0.812095 0.784244
1e-05 0.464665 0.022766 0.704821
1e-05 0.978406 0.080181 0.615440
1e-05 0.708493 0.485597 0.625271
1e-05 0.335347 0.788209 0.320008
1e-05 0.324424 0.475925 0.043050
1e-05 0.613739 0.995092 0.345449
1e-05 0.632564 0.434067 0.436427
1e-05 0.471935 0.319963 0.820562
1e-05 0.248652 0.735980 0.712559
1e-05 0.583060 0.312798 0.998361
1e-05 0.088200 0.279225 0.880123
1e-05 0.676099 0.377703 0.342143
1e-05 0.732586 0.122545 0.834805
1e-05 0.954336 0.066206 0.679934
1e-05 0.067435 0.881291 0.229827
1e-05 0.929707 0.060979 0.503897
1e-05 0.729199 0.353565 0.571340
1e-05 0.758192 0.368843 0.726150
1e-05 0.619228 0.625418 0.865402
1e-05 0.173278 0.064249 0.727773
1e-05 0.349356 0.209232 0.967446
1e-05 0.451049 0.275141 0.176757
1e-05 0.339958 0.578831 0.613040
1e-05 0.407207 0.708084 0.448043
1e-05 0.299931 0.055695 0.546774
1e-05 0.072748 0.721969 0.121081
1e-05 0.447315 0.297678 0.759167
1e-05 0.463677 0.252340 0.810551
1e-05 0.514089 0.753683 0.628740
1e-05 0.450413 0.502162 0.731727
1e-05 0.282564 0.098027 0.405022
1e-05 0.154872 0.113707 0.902624
1e-05 0.493626 0.887573 0.851261
1e-05 0.412899 0.006079 0.630399
1e-05 0.258911 0.120689 0.922308
1e-05 0.148630 0.034022 0.148732
1e-05 0.459797 0.810533 0.362672
1e-05 0.747325 0.727828 0.715966
1e-05 0.196866 0.215040 0.477211
1e-05 0.173682 0.118307 0.484225
1e-05 0.739612 0.862792 0.724597
1e-05 0.176664 0.820842 0.166454
1e-05 0.182654 0.534645 0.315041
1e-05 0.999769 0.044128 0.754829
1e-05 0.478631 0.112160 0.335355
1e-05 0.772404 0.439003 0.316880
1e-05 0.793883 0.768994 0.644242
1e-05 0.655284 0.740976 0.827534
1e-05 0.249258 0.588661 0.229498
1e-05 0.944222 0.741091 0.808308
1e-05 0.336441 0.518920 0.476908
1e-05 0.801291 0.171650 0.047390
1e-05 0.129206 0.362849 0.356668
1e-05 0.546766 0.346458 0.994152
1e-05 0.096482 0.075675 0.641600
1e-05 0.166683 0.543209 0.174251
1e-05 0.897653 0.416464 0.562978
1e-05 0.459841 0.409554 0.788187
1e-05 0.766414 0.609143 0.538497
1e-05 0.457201 0.214299 0.539397
1e-05 0.732785 0.725942 0.357057
1e-05 0.568788 0.674367 0.337261
1e-05 0.499018 0.762962 0.225611
1e-05 0.153763 0.586136 0.433328
1e-05 0.321257 0.360800 0.781058
1e-05 0.398828 0.715104 0.750714
1e-05 0.258726 0.370567 0.931751
1e-05 0.283449 0.350975 0.843521
1e-05 0.690171 0.375423 0.236298
1e-05 0.395949 0.898581 0.426206
1e-05 0.344951 0.558499 0.089658
1e-05 0.829387 0.665468 0.346778
1e-05 0.866441 0.850376 0.350879
1e-05 0.075624 0.575395 0.902993
1e-05 0.363517 0.385508 0.855960
1e-05 0.639175 0.779336 0.068727
1e-05 0.440247 0.759962 0.092186
1e-05 0.662874 0.692409 0.478370
1e-05 0.748877 0.853701 0.710228
1e-05 0.461250 0.310645 0.677475
1e-05 0.808113 0.883869 0.475356
1e-05 0.906373 0.306137 0.434271
1e-05 0.536050 0.922519 0.231794
1e-05 0.707580 0.616988 0.002915
1e-05 0.593296 0.789390 0.651815
1e-05 0.770372 0.428902 0.970262
1e-05 0.524835 0.352745 0.856790
1e-05 0.621194 0.574857 0.085209
1e-05 0.816500 0.144420 0.651620
1e-05 0.157095 0.707957 0.057652
1e-05 0.049648 0.584928 0.130056
1e-05 0.945937 0.722232 0.168413
1e-05 0.199825 0.074480 0.799155
1e-05 0.191229 0.108670 0.806361
1e-05 0.295530 0.553882 0.706416
1e-05 0.186672 0.375804 0.876989
1e-05 0.392955 0.678131 0.834117
1e-05 0.729141 0.523280 0.623088
1e-05 0.827390 0.628119 0.013936
1e-05 0.953174 0.154334 0.706316
1e-05 0.294830 0.332601 0.926549
1e-05 0.519530 0.563536 0.474151
1e-05 0.449887 0.426551 0.359144
1e-05 0.355490 0.162918 0.410855
1e-05 0.045754 0.143002 0.945372
1e-05 0.025048 0.415218 0.296046
1e-05 0.712443 0.295661 0.081281
1e-05 0.070571 0.058707 0.553443
1e-05 0.384405 0.769058 0.498161
1e-05 0.237434 0.515357 0.424534
1e-05 0.336745 0.944115 0.710944
1e-05 0.368717 0.523996 0.825358
1e-05 0.797274 0.037730 0.529339
1e-05 0.287936 0.092049 0.662449
1e-05 0.283249 0.035707 0.974113
1e-05 0.674860 0.095634 0.371949
1e-05 0.832214 0.108634 0.143051
1e-05 0.720541 0.712726 0.528500
1e-05 0.508909 0.611256 0.039330
1e-05 0.087848 0.330060 0.464187
1e-05 0.028951 0.625825 0.433530
1e-05 0.903422 0.694808 0.170463
1e-05 0.724020 0.938480 0.325793
1e-05 0.192687 0.512790 0.779880
1e-05 0.557385 0.823031 0.625143
1e-05 0.154019 0.791599 0.786474
1e-05 0.301071 0.277383 0.858742
1e-05 0.724034 0.444531 0.502382
1e-05 0.569508 0.977345 0.472938
1e-05 0.760913 0.523632 0.754954
1e-05 0.220581 0.324184 0.270972
1e-05 0.040241 0.720968 0.695270
1e-05 0.145768 0.510124 0.462271
1e-05 0.156264 0.128254 0.187964
1e-05 0.316393 0.998616 0.311934
1e-05 0.562549 0.994459 0.455041
1e-05 0.654624 0.631120 0.332060
1e-05 0.263146 0.658812 0.787577
1e-05 0.476941 0.734645 0.195624
1e-05 0.539029 0.064215 0.744598
1e-05 0.351289 0.120196 0.492078
1e-05 0.759225 0.127872 0.155319
1e-05 0.257809 0.405039 0.763489
1e-05 0.989931 0.631183 0.077742
1e-05 0.669288 0.605880 0.641343
1e-05 0.233840 0.445611 0.982490
1e-05 0.239900 0.779613 0.658144
1e-05 0.692089 0.947837 0.282800
1e-05 0.101622 0.969334 0.802880
1e-05 0.366918 0.029090 0.607313
1e-05 0.390468 0.981332 0.584952
1e-05 0.384639 0.437815 0.705190
1e-05 0.835659 0.512535 0.308296
1e-05 0.957889 0.122046 0.228469
1e-05 0.228010 0.618423 0.907690
1e-05 0.528590 0.382214 0.022902
1e-05 0.289647 0.283222 0.672307
1e-05 0.037928 0.781334 0.332369
1e-05 0.468237 0.597763 0.780488
1e-05 0.717493 0.872099 0.283797
1e-05 0.032087 0.634398 0.007058
1e-05 0.924670 0.070306 0.476461
1e-05 0.823226 0.537993 0.367779
1e-05 0.007772 0.237350 0.378489
1e-05 0.443597 0.182106 0.948201
1e-05 0.456992 0.471311 0.722496
